Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Myanmar,Myanmar,1977,EFConsTotGHA,731055.044460217,1798069.84804485,8174869.12590696,710218.907273318,7432080.95553618,323087.363276854,19169381.2444984,3A,MM
Myanmar,Myanmar,1977,BiocapTotGHA,731055.044460217,0,10415416.756563,15421631.7060192,37967572.931142,306917.810226554,64842594.248411,3A,MM
Myanmar,Myanmar,1978,EFConsTotGHA,833132.032016201,1848007.06797473,10289015.8404643,736571.950247196,7951764.52302952,324549.124848957,21983040.5385809,3A,MM
Myanmar,Myanmar,1978,BiocapTotGHA,833132.032016201,0,11568850.1368667,15436803.1393466,37860114.2613088,306371.075306699,66005270.644845,3A,MM
Myanmar,Myanmar,1979,EFConsTotGHA,851023.105987353,1948641.92886092,10246100.0288336,769960.712092002,8083218.06691868,323299.225251979,22222243.0679446,3A,MM
Myanmar,Myanmar,1979,BiocapTotGHA,851023.105987353,0,12178701.6734787,15466695.320498,37819953.0840179,306964.339313498,66623337.5232955,3A,MM
Myanmar,Myanmar,1980,EFConsTotGHA,1024998.92100823,1916025.01600301,12004829.8975252,793538.198392458,8088691.89060547,325583.234954477,24153667.1584889,3A,MM
Myanmar,Myanmar,1980,BiocapTotGHA,1024998.92100823,0,13753302.5381617,15508985.790237,37407047.9894319,309508.953106817,68003844.1919456,3A,MM
Myanmar,Myanmar,1981,EFConsTotGHA,1131342.12136976,1897133.40691851,12446967.8414296,812483.702889728,8228814.18132167,326920.272880451,24843661.5268097,3A,MM
Myanmar,Myanmar,1981,BiocapTotGHA,1131342.12136976,0,14247773.7977849,15525989.0090155,37407437.6504246,309848.282094205,68622390.860689,3A,MM
Myanmar,Myanmar,1982,EFConsTotGHA,1221574.51036602,1849413.45858037,14062542.4624738,792556.479165402,8433964.03302464,322730.867867153,26682781.8114774,3A,MM
Myanmar,Myanmar,1982,BiocapTotGHA,1221574.51036602,0,15837684.861355,15457205.1433762,37541022.6407288,306775.989708763,70364263.1455347,3A,MM
Myanmar,Myanmar,1983,EFConsTotGHA,1345876.98835116,1736441.64683248,12830717.0253361,793297.191540213,8227153.76270685,315241.811023129,25248728.42579,3A,MM
